POP1	POP2	ASSIGNER_SIM02	DIVERSITY_SIM02	GENODIVE_SIM02	HIERFSTAT_SIM02	STAMPP_SIM02	STRATAG_SIM02	SNPRELATE_MEAN_SIM02	SNPRELATE_WEIGHTED_SIM02
POP_1	POP_2	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
POP_1	POP_3	0.0032	0.0032	0.0032	0.0032	0.0032	0.0032	0.0019	0.0031
POP_1	POP_4	0.0021	0.0021	0.0021	0.0021	0.0021	0.0021	0.0017	0.0019
POP_1	POP_5	0.0022	0.0022	0.0022	0.0022	0.0022	0.0022	0.001	0.0021
POP_2	POP_3	1e-4	1e-4	1e-4	1e-4	1e-4	1e-4	5e-4	2e-4
POP_2	POP_4	2e-4	2e-4	2e-4	2e-4	2e-4	2e-4	7e-4	2e-4
POP_2	POP_5	5e-4	5e-4	5e-4	5e-4	5e-4	5e-4	0.001	5e-4
POP_3	POP_4	0	-6e-4	-6e-4	-6e-4	-6e-4	-6e-4	-5e-4	-7e-4
POP_3	POP_5	0.0028	0.0028	0.0028	0.0028	0.0028	0.0028	0.0016	0.0027
POP_4	POP_5	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	5e-4	0.0015
